HASHID,Version,Storage,Wells,Drains
00491d2d5e3e61ba8082dcefa2e266ec,TRBAR96,8252529152,2117874688,20688781312
00491d2d5e3e61ba8082dcefa2e266ec,TRMAC96,11542493184,2117880832,33126440960
00491d2d5e3e61ba8082dcefa2e266ec,TRNAT96,11499437056,2117880832,32094855168
00491d2d5e3e61ba8082dcefa2e266ec,TRold96,8920905728,2114565120,20545624064
007147373c216a2f6690bcef9d0afb11,TRBAR96,8252549120,2119372672,20687398912
007147373c216a2f6690bcef9d0afb11,TRMAC96,11542494208,2119379968,33125001216
007147373c216a2f6690bcef9d0afb11,TRNAT96,11499429888,2119379968,32093454336
007147373c216a2f6690bcef9d0afb11,TRold96,8921149440,2116095232,20543997952
01d6efae7d13197d4165fed04fa36d47,TRBAR96,8252527616,2116905472,20689713152
01d6efae7d13197d4165fed04fa36d47,TRMAC96,11542490112,2116911488,33127401472
01d6efae7d13197d4165fed04fa36d47,TRNAT96,11499440128,2116911488,32095789056
01d6efae7d13197d4165fed04fa36d47,TRold96,8920906752,2113596032,20546557952
084188ef2ccc5241f788264faafcd37c,TRBAR96,8252573696,2110651392,20695963648
084188ef2ccc5241f788264faafcd37c,TRMAC96,11542499328,2110659968,33133412352
084188ef2ccc5241f788264faafcd37c,TRNAT96,11499441152,2110659968,32101945344
084188ef2ccc5241f788264faafcd37c,TRold96,8921110528,2107345792,20552105984
088aca7540479d99f86aefd0d2a4eae2,TRBAR96,8252540416,2119813504,20686903296
088aca7540479d99f86aefd0d2a4eae2,TRMAC96,11542492160,2119818880,33124526080
088aca7540479d99f86aefd0d2a4eae2,TRNAT96,11499433984,2119818880,32092964864
088aca7540479d99f86aefd0d2a4eae2,TRold96,8920907776,2116501888,20543797248
08f25a734933154e66c99a5af7600850,TRBAR96,8253961216,2164310016,20645801984
08f25a734933154e66c99a5af7600850,TRMAC96,11543365632,2164315648,33079812096
08f25a734933154e66c99a5af7600850,TRNAT96,11500562432,2164315648,32047542272
08f25a734933154e66c99a5af7600850,TRold96,8875257856,2108490624,20516646912
0dcdc52baff2e201863d7777e1d86b37,TRBAR96,8251999232,2037490944,20764768256
0dcdc52baff2e201863d7777e1d86b37,TRMAC96,11542029312,2037497344,33202726912
0dcdc52baff2e201863d7777e1d86b37,TRNAT96,11499115520,2037497344,32169334784
0dcdc52baff2e201863d7777e1d86b37,TRold96,8872871936,2032118144,20588941312
0e7746a6029efa9442080ecf5541c72c,TRBAR96,8252571136,2109684992,20696875008
0e7746a6029efa9442080ecf5541c72c,TRMAC96,11542504448,2109691136,33134403584
0e7746a6029efa9442080ecf5541c72c,TRNAT96,11499440128,2109691136,32102885376
0e7746a6029efa9442080ecf5541c72c,TRold96,8921108480,2106373504,20553048064
103776b49263e05521a3873b0d4b95a5,TRBAR96,8231605248,2751241216,20086521856
103776b49263e05521a3873b0d4b95a5,TRMAC96,11541128192,2811984128,32476190720
103776b49263e05521a3873b0d4b95a5,TRNAT96,11498731520,2811984128,31447091200
103776b49263e05521a3873b0d4b95a5,TRold96,8815993856,2744757760,19839973376
16a2365f9b915e13a2486c61b33baf45,TRBAR96,8255627264,2294173440,20522104832
16a2365f9b915e13a2486c61b33baf45,TRMAC96,11543469056,2358258432,32899334144
16a2365f9b915e13a2486c61b33baf45,TRNAT96,11500588032,2358258432,31866671104
16a2365f9b915e13a2486c61b33baf45,TRold96,8876785664,2288189696,20350392320
1a809aee32bfdf9c1885035eb3273f76,TRBAR96,8255300608,2319114496,20498946048
1a809aee32bfdf9c1885035eb3273f76,TRMAC96,11542981632,2383205632,32872638464
1a809aee32bfdf9c1885035eb3273f76,TRNAT96,11500547072,2383205632,31843442688
1a809aee32bfdf9c1885035eb3273f76,TRold96,8926226432,2313044224,20353994752
1c4dc0e9935baf6bf511712d096cf849,TRBAR96,8255161344,2337099520,20482355200
1c4dc0e9935baf6bf511712d096cf849,TRMAC96,11543102464,2401187328,32855209984
1c4dc0e9935baf6bf511712d096cf849,TRNAT96,11500701696,2401187328,31826022400
1c4dc0e9935baf6bf511712d096cf849,TRold96,8878340096,2331262720,20309198848
27c4b1665f1cf1e7a4d5000093b689ae,TRBAR96,8254952960,2261047808,20550823936
27c4b1665f1cf1e7a4d5000093b689ae,TRMAC96,11543901184,2325136640,32928206848
